 -- Frame 113 Framerate: 28.2 [Good Framerate]
 -- Frame 114 Framerate: 38.7 [Good Framerate]
 -- Frame 115 Framerate: 29.6 [Good Framerate]
 -- Frame 116 Framerate: 37.5 [Good Framerate]
 -- Frame 117 Framerate: 28.9 [Good Framerate]
 -- Frame 118 Framerate: 35.1 [Good Framerate]
 -- Frame 119 Framerate: 27.5 [Good Framerate]
 -- Frame 120 Framerate: 36.8 [Good Framerate]
 -- Frame 121 Framerate: 28.0 [Good Framerate]
 -- Frame 122 Framerate: 37.5 [Good Framerate]
 -- Frame 123 Framerate: 29.0 [Good Framerate]
 -- Frame 124 Framerate: 35.9 [Good Framerate]
 -- Frame 125 Framerate: 28.4 [Good Framerate]
 -- Frame 126 Framerate: 38.8 [Good Framerate]
 -- Frame 127 Framerate: 24.0 [Okay Framerate]
 -- Frame 128 Framerate: 30.5 [Good Framerate]
 -- Frame 129 Framerate: 30.6 [Good Framerate]
 -- Frame 130 Framerate: 33.0 [Good Framerate]
 -- Frame 131 Framerate: 20.4 [Okay Framerate]
 -- Frame 132 Framerate: 15.6 [Low Framerate]
 -- Frame 133 Framerate: 15.2 [Low Framerate]
 -- Frame 134 Framerate: 27.0 [Good Framerate]
 -- Frame 135 Framerate: 19.4 [Low Framerate]
 -- Frame 136 Framerate: 21.9 [Okay Framerate]
 -- Frame 137 Framerate: 14.6 [Low Framerate]
 -- Frame 138 Framerate: 19.3 [Low Framerate]
 -- Frame 139 Framerate: 32.5 [Good Framerate]
 -- Frame 140 Framerate: 26.0 [Good Framerate]
 -- Frame 141 Framerate: 29.8 [Good Framerate]
 -- Frame 142 Framerate: 42.5 [Very Good Framerate]
 -- Frame 143 Framerate: 31.0 [Good Framerate]
 -- Frame 144 Framerate: 41.8 [Very Good Framerate]
 -- Frame 145 Framerate: 25.4 [Good Framerate]
 -- Frame 146 Framerate: 15.2 [Low Framerate]
 -- Frame 147 Framerate: 16.0 [Low Framerate]
 -- Frame 148 Framerate: 15.8 [Low Framerate]
 -- Frame 149 Framerate: 20.8 [Okay Framerate]
 -- Frame 150 Framerate: 17.2 [Low Framerate]
 -- Frame 151 Framerate: 16.2 [Low Framerate]
 -- Frame 152 Framerate: 20.6 [Okay Framerate]
 -- Frame 153 Framerate: 16.3 [Low Framerate]
 -- Frame 154 Framerate: 16.0 [Low Framerate]
 -- Frame 155 Framerate: 25.8 [Good Framerate]
 -- Frame 156 Framerate: 30.0 [Good Framerate]
 -- Frame 157 Framerate: 24.3 [Okay Framerate]
 -- Frame 158 Framerate: 22.5 [Okay Framerate]
 -- Frame 159 Framerate: 21.8 [Okay Framerate]
 -- Frame 160 Framerate: 24.3 [Okay Framerate]
 -- Frame 161 Framerate: 31.7 [Good Framerate]
 -- Frame 162 Framerate: 26.0 [Good Framerate]
 -- Frame 163 Framerate: 22.7 [Okay Framerate]
 -- Frame 164 Framerate: 25.5 [Good Framerate]
 -- Frame 165 Framerate: 33.1 [Good Framerate]
 -- Frame 166 Framerate: 21.0 [Okay Framerate]
 -- Frame 167 Framerate: 15.8 [Low Framerate]
 -- Frame 168 Framerate: 22.5 [Okay Framerate]
 -- Frame 169 Framerate: 21.5 [Okay Framerate]
 -- Frame 170 Framerate: 18.4 [Low Framerate]
 -- Frame 171 Framerate: 21.0 [Okay Framerate]
 -- Frame 172 Framerate: 15.6 [Low Framerate]
 -- Frame 173 Framerate: 22.9 [Okay Framerate]
 -- Frame 174 Framerate: 29.2 [Good Framerate]
 -- Frame 175 Framerate: 38.1 [Good Framerate]
 -- Frame 176 Framerate: 27.6 [Good Framerate]
 -- Frame 177 Framerate: 38.3 [Good Framerate]
 -- Frame 178 Framerate: 28.9 [Good Framerate]
 -- Frame 179 Framerate: 37.9 [Good Framerate]
 -- Frame 180 Framerate: 29.3 [Good Framerate]
 -- Frame 181 Framerate: 38.3 [Good Framerate]
 -- Frame 182 Framerate: 27.0 [Good Framerate]
 -- Frame 183 Framerate: 35.8 [Good Framerate]
 -- Frame 184 Framerate: 21.0 [Okay Framerate]
 -- Frame 185 Framerate: 36.3 [Good Framerate]
 -- Frame 186 Framerate: 21.1 [Okay Framerate]
