 -- Frame 149 Framerate: 22.3 [Okay Framerate]
 -- Frame 150 Framerate: 21.2 [Okay Framerate]
 -- Frame 151 Framerate: 20.8 [Okay Framerate]
 -- Frame 152 Framerate: 20.6 [Okay Framerate]
 -- Frame 153 Framerate: 21.5 [Okay Framerate]
 -- Frame 154 Framerate: 18.8 [Low Framerate]
 -- Frame 155 Framerate: 21.3 [Okay Framerate]
 -- Frame 156 Framerate: 21.0 [Okay Framerate]
 -- Frame 157 Framerate: 21.3 [Okay Framerate]
 -- Frame 158 Framerate: 5.0 [Very Low Framerate]
 -- Frame 159 Framerate: 17.3 [Low Framerate]
 -- Frame 160 Framerate: 16.8 [Low Framerate]
 -- Frame 161 Framerate: 21.8 [Okay Framerate]
 -- Frame 162 Framerate: 22.0 [Okay Framerate]
 -- Frame 163 Framerate: 18.6 [Low Framerate]
 -- Frame 164 Framerate: 21.8 [Okay Framerate]
 -- Frame 165 Framerate: 22.5 [Okay Framerate]
 -- Frame 166 Framerate: 21.8 [Okay Framerate]
 -- Frame 167 Framerate: 20.0 [Low Framerate]
 -- Frame 168 Framerate: 22.1 [Okay Framerate]
 -- Frame 169 Framerate: 22.1 [Okay Framerate]
 -- Frame 170 Framerate: 20.0 [Okay Framerate]
 -- Frame 171 Framerate: 22.0 [Okay Framerate]
 -- Frame 172 Framerate: 21.8 [Okay Framerate]
 -- Frame 173 Framerate: 21.7 [Okay Framerate]
 -- Frame 174 Framerate: 17.2 [Low Framerate]
 -- Frame 175 Framerate: 23.1 [Okay Framerate]
 -- Frame 176 Framerate: 22.7 [Okay Framerate]
 -- Frame 177 Framerate: 22.7 [Okay Framerate]
 -- Frame 178 Framerate: 22.4 [Okay Framerate]
 -- Frame 179 Framerate: 22.6 [Okay Framerate]
 -- Frame 180 Framerate: 23.3 [Okay Framerate]
 -- Frame 181 Framerate: 21.2 [Okay Framerate]
 -- Frame 182 Framerate: 21.0 [Okay Framerate]
 -- Frame 183 Framerate: 20.2 [Okay Framerate]
 -- Frame 184 Framerate: 20.0 [Low Framerate]
 -- Frame 185 Framerate: 18.2 [Low Framerate]
 -- Frame 186 Framerate: 21.2 [Okay Framerate]
 -- Frame 187 Framerate: 22.0 [Okay Framerate]
 -- Frame 188 Framerate: 21.8 [Okay Framerate]
 -- Frame 189 Framerate: 21.6 [Okay Framerate]
 -- Frame 190 Framerate: 21.9 [Okay Framerate]
 -- Frame 191 Framerate: 20.8 [Okay Framerate]
 -- Frame 192 Framerate: 20.2 [Okay Framerate]
 -- Frame 193 Framerate: 20.3 [Okay Framerate]
 -- Frame 194 Framerate: 15.1 [Low Framerate]
 -- Frame 195 Framerate: 18.9 [Low Framerate]
 -- Frame 196 Framerate: 22.0 [Okay Framerate]
 -- Frame 197 Framerate: 22.0 [Okay Framerate]
